N,P,K,Temperature,Humidity,Rainfall,pH,Crop
88,39,41,24,77,115,6.3,Rice
89,41,44,24.8,78,117,6.4,Rice
90,43,41,25.6,79,119,6.5,Rice
91,45,44,26.4,80,121,6.6,Rice
92,40,41,27.2,81,123,6.7,Rice
93,42,44,24,82,125,6.3,Rice
88,44,41,24.8,77,127,6.4,Rice
89,39,44,25.6,78,129,6.5,Rice
90,41,41,26.4,79,131,6.6,Rice
91,43,44,27.2,80,133,6.7,Rice
55,45,35,18,55,70,6.4,Wheat
56,47,38,18.8,56,72,6.5,Wheat
57,49,41,19.6,57,74,6.6,Wheat
58,51,44,20.4,58,76,6.7,Wheat
59,53,36,21.2,59,78,6.8,Wheat
60,55,39,18,60,80,6.4,Wheat
61,46,42,18.8,55,82,6.5,Wheat
62,48,45,19.6,56,84,6.6,Wheat
63,50,37,20.4,57,86,6.7,Wheat
64,52,40,21.2,58,88,6.8,Wheat
50,35,30,22,60,80,5.8,Maize
51,37,33,22.8,61,82,5.9,Maize
52,39,36,23.6,62,84,6,Maize
53,41,39,24.4,63,86,6.1,Maize
54,43,42,25.2,64,88,6.2,Maize
55,45,45,22,65,90,5.8,Maize
56,47,32,22.8,60,92,5.9,Maize
57,49,35,23.6,61,94,6,Maize
58,35,38,24.4,62,96,6.1,Maize
59,37,41,25.2,63,98,6.2,Maize
35,45,25,26,50,60,6,Cotton
36,47,28,26.8,51,62,6.1,Cotton
37,49,31,27.6,52,64,6.2,Cotton
38,51,34,28.4,53,66,6.3,Cotton
39,53,37,29.2,54,68,6.4,Cotton
40,55,40,26,55,70,6,Cotton
41,57,27,26.8,50,72,6.1,Cotton
42,59,30,27.6,51,74,6.2,Cotton
43,45,33,28.4,52,76,6.3,Cotton
44,47,36,29.2,53,78,6.4,Cotton
70,35,35,24,70,140,6,Sugarcane
71,37,38,24.8,71,142,6.1,Sugarcane
72,39,41,25.6,72,144,6.2,Sugarcane
73,41,44,26.4,73,146,6.3,Sugarcane
74,43,36,27.2,74,148,6.4,Sugarcane
75,45,39,24,75,150,6,Sugarcane
76,36,42,24.8,70,152,6.1,Sugarcane
77,38,45,25.6,71,154,6.2,Sugarcane
78,40,37,26.4,72,156,6.3,Sugarcane
79,42,40,27.2,73,158,6.4,Sugarcane
25,45,35,22,55,70,6,Soybean
26,47,38,22.8,56,72,6.1,Soybean
27,49,41,23.6,57,74,6.2,Soybean
28,51,44,24.4,58,76,6.3,Soybean
29,53,47,25.2,59,78,6.4,Soybean
30,55,50,22,60,80,6,Soybean
31,57,37,22.8,55,82,6.1,Soybean
32,59,40,23.6,56,84,6.2,Soybean
33,45,43,24.4,57,86,6.3,Soybean
34,47,46,25.2,58,88,6.4,Soybean
80,40,40,20,60,90,6,Tomato
81,42,43,20.8,61,92,6.1,Tomato
82,44,46,21.6,62,94,6.2,Tomato
83,46,49,22.4,63,96,6.3,Tomato
84,48,52,23.2,64,98,6.4,Tomato
85,50,55,20,65,100,6,Tomato
86,52,58,20.8,60,102,6.1,Tomato
87,54,40,21.6,61,104,6.2,Tomato
88,56,43,22.4,62,106,6.3,Tomato
89,58,46,23.2,63,108,6.4,Tomato
90,45,45,15,65,80,5.5,Potato
91,47,48,15.8,66,82,5.6,Potato
92,49,51,16.6,67,84,5.7,Potato
93,51,54,17.4,68,86,5.8,Potato
94,53,57,18.2,69,88,5.9,Potato
95,55,60,15,70,90,5.5,Potato
96,57,63,15.8,65,92,5.6,Potato
97,59,45,16.6,66,94,5.7,Potato
98,61,48,17.4,67,96,5.8,Potato
99,63,51,18.2,68,98,5.9,Potato
60,35,35,18,55,60,6,Onion
61,37,38,18.8,56,62,6.1,Onion
62,39,41,19.6,57,64,6.2,Onion
63,41,44,20.4,58,66,6.3,Onion
64,43,47,21.2,59,68,6.4,Onion
65,45,50,18,60,70,6,Onion
66,47,53,18.8,55,72,6.1,Onion
67,49,35,19.6,56,74,6.2,Onion
68,51,38,20.4,57,76,6.3,Onion
69,53,41,21.2,58,78,6.4,Onion
20,30,30,24,50,50,6,Groundnut
21,32,33,24.8,51,52,6.1,Groundnut
22,34,36,25.6,52,54,6.2,Groundnut
23,36,39,26.4,53,56,6.3,Groundnut
24,38,42,27.2,54,58,6.4,Groundnut
25,40,45,24,55,60,6,Groundnut
26,42,32,24.8,50,62,6.1,Groundnut
27,44,35,25.6,51,64,6.2,Groundnut
28,46,38,26.4,52,66,6.3,Groundnut
29,48,41,27.2,53,68,6.4,Groundnut
